,Age,Fare,Parch,Pclass,SibSp,Survived
761,41.0,7.125,0,3,0,0
762,20.0,7.2292,0,3,0,1
763,36.0,120.0,2,1,1,1
764,16.0,7.775,0,3,0,0
765,51.0,77.9583,0,1,1,1
766,28.0,39.6,0,1,0,0
767,30.5,7.75,0,3,0,0
768,28.0,24.15,0,3,1,0
769,32.0,8.3625,0,3,0,0
770,24.0,9.5,0,3,0,0
771,48.0,7.8542,0,3,0,0
772,57.0,10.5,0,2,0,0
773,28.0,7.225,0,3,0,0
774,54.0,23.0,3,2,1,1
775,18.0,7.75,0,3,0,0
776,28.0,7.75,0,3,0,0
777,5.0,12.475,0,3,0,1
778,28.0,7.7375,0,3,0,0
779,43.0,211.3375,1,1,0,1
780,13.0,7.2292,0,3,0,1
781,17.0,57.0,0,1,1,1
782,29.0,30.0,0,1,0,0
783,28.0,23.45,2,3,1,0
784,25.0,7.05,0,3,0,0
785,25.0,7.25,0,3,0,0
786,18.0,7.4958,0,3,0,1
787,8.0,29.125,1,3,4,0
788,1.0,20.575,2,3,1,1
789,46.0,79.2,0,1,0,0
790,28.0,7.75,0,3,0,0
791,16.0,26.0,0,2,0,0
792,28.0,69.55,2,3,8,0
793,28.0,30.6958,0,1,0,0
794,25.0,7.8958,0,3,0,0
795,39.0,13.0,0,2,0,0
796,49.0,25.9292,0,1,0,1
797,31.0,8.6833,0,3,0,1
798,30.0,7.2292,0,3,0,0
799,30.0,24.15,1,3,1,0
800,34.0,13.0,0,2,0,0
801,31.0,26.25,1,2,1,1
802,11.0,120.0,2,1,1,1
803,0.42,8.5167,1,3,0,1
804,27.0,6.975,0,3,0,1
805,31.0,7.775,0,3,0,0
806,39.0,0.0,0,1,0,0
807,18.0,7.775,0,3,0,0
808,39.0,13.0,0,2,0,0
809,33.0,53.1,0,1,1,1
810,26.0,7.8875,0,3,0,0
811,39.0,24.15,0,3,0,0
812,35.0,10.5,0,2,0,0
813,6.0,31.275,2,3,4,0
814,30.5,8.05,0,3,0,0
815,28.0,0.0,0,1,0,0
816,23.0,7.925,0,3,0,0
817,31.0,37.0042,1,2,1,0
818,43.0,6.45,0,3,0,0
819,10.0,27.9,2,3,3,0
820,52.0,93.5,1,1,1,1
821,27.0,8.6625,0,3,0,1
822,38.0,0.0,0,1,0,0
823,27.0,12.475,1,3,0,1
824,2.0,39.6875,1,3,4,0
825,28.0,6.95,0,3,0,0
826,28.0,56.4958,0,3,0,0
827,1.0,37.0042,2,2,0,1
828,28.0,7.75,0,3,0,1
829,62.0,80.0,0,1,0,1
830,15.0,14.4542,0,3,1,1
831,0.83,18.75,1,2,1,1
832,28.0,7.2292,0,3,0,0
833,23.0,7.8542,0,3,0,0
834,18.0,8.3,0,3,0,0
835,39.0,83.1583,1,1,1,1
836,21.0,8.6625,0,3,0,0
837,28.0,8.05,0,3,0,0
838,32.0,56.4958,0,3,0,1
839,28.0,29.7,0,1,0,1
840,20.0,7.925,0,3,0,0
841,16.0,10.5,0,2,0,0
842,30.0,31.0,0,1,0,1
843,34.5,6.4375,0,3,0,0
844,17.0,8.6625,0,3,0,0
845,42.0,7.55,0,3,0,0
846,28.0,69.55,2,3,8,0
847,35.0,7.8958,0,3,0,0
848,28.0,33.0,1,2,0,0
849,28.0,89.1042,0,1,1,1
850,4.0,31.275,2,3,4,0
851,74.0,7.775,0,3,0,0
852,9.0,15.2458,1,3,1,0
853,16.0,39.4,1,1,0,1
854,44.0,26.0,0,2,1,0
855,18.0,9.35,1,3,0,1
856,45.0,164.8667,1,1,1,1
857,51.0,26.55,0,1,0,1
858,24.0,19.2583,3,3,0,1
859,28.0,7.2292,0,3,0,0
860,41.0,14.1083,0,3,2,0
861,21.0,11.5,0,2,1,0
862,48.0,25.9292,0,1,0,1
863,28.0,69.55,2,3,8,0
864,24.0,13.0,0,2,0,0
865,42.0,13.0,0,2,0,1
866,27.0,13.8583,0,2,1,1
867,31.0,50.4958,0,1,0,0
868,28.0,9.5,0,3,0,0
869,4.0,11.1333,1,3,1,1
870,26.0,7.8958,0,3,0,0
871,47.0,52.5542,1,1,1,1
872,33.0,5.0,0,1,0,0
873,47.0,9.0,0,3,0,0
874,28.0,24.0,0,2,1,1
875,15.0,7.225,0,3,0,1
876,20.0,9.8458,0,3,0,0
877,19.0,7.8958,0,3,0,0
878,28.0,7.8958,0,3,0,0
879,56.0,83.1583,1,1,0,1
880,25.0,26.0,1,2,0,1
881,33.0,7.8958,0,3,0,0
882,22.0,10.5167,0,3,0,0
883,28.0,10.5,0,2,0,0
884,25.0,7.05,0,3,0,0
885,39.0,29.125,5,3,0,0
886,27.0,13.0,0,2,0,0
887,19.0,30.0,0,1,0,1
888,28.0,23.45,2,3,1,0
889,26.0,30.0,0,1,0,1
890,32.0,7.75,0,3,0,0
