Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
Oct,1,Sunday,Mazda,Urban,Thursday,Oct,4,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1712,9,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Sep,3,Thursday,Pontiac,Urban,Thursday,Sep,3,Male,Married,54,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1713,7,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Aug,5,Wednesday,Toyota,Urban,Friday,Oct,4,Female,Married,27,Third Party,Sedan - Liability,Sport,20000 to 29000,0,1714,12,400,4,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Jul,5,Friday,Toyota,Urban,Friday,Jul,5,Male,Married,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1715,15,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Jul,4,Friday,Toyota,Urban,Tuesday,Oct,3,Female,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1716,15,400,3,more than 30,more than 30,none,4 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1994,Collision
Jun,2,Wednesday,Accura,Urban,Tuesday,Jun,2,Male,Married,31,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,1717,7,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Jun,2,Wednesday,Chevrolet,Urban,Monday,Jun,4,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1718,5,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,Internal,1 to 2,no change,1 vehicle,1994,Collision
May,5,Tuesday,Ford,Urban,Thursday,Jun,1,Male,Married,53,Policy Holder,Sedan - Liability,Sport,60000 to 69000,0,1719,9,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,Internal,3 to 5,no change,1 vehicle,1994,Liability
Jun,1,Thursday,Chevrolet,Rural,Friday,Jun,1,Female,Single,31,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1720,4,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
May,5,Sunday,Honda,Urban,Monday,May,5,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1721,8,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
May,3,Monday,Toyota,Urban,Thursday,May,3,Female,Single,80,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1722,15,400,2,more than 30,more than 30,1,7 years,over 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
May,1,Friday,Toyota,Urban,Friday,May,2,Female,Single,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1723,9,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,4 to 8 years,3 to 4,1994,Collision
May,1,Monday,Honda,Urban,Wednesday,Jun,4,Male,Married,48,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1724,4,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
Apr,3,Sunday,Toyota,Urban,Monday,May,2,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1725,5,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Apr,1,Thursday,Toyota,Urban,Tuesday,Apr,4,Male,Married,30,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,1726,13,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Mar,2,Monday,Toyota,Urban,Monday,Mar,2,Female,Married,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1727,9,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Feb,2,Tuesday,VW,Urban,Wednesday,Feb,2,Male,Single,51,Third Party,Sedan - Liability,Sport,40000 to 59000,0,1728,1,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Feb,1,Monday,Pontiac,Urban,Wednesday,Feb,3,Male,Married,51,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,1729,15,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Feb,1,Monday,Toyota,Urban,Wednesday,Feb,2,Female,Married,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1730,11,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,1 year,1 vehicle,1994,Liability
Feb,1,Monday,Pontiac,Urban,Tuesday,Feb,2,Female,Married,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1731,11,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Feb,1,Monday,Honda,Urban,Wednesday,Feb,3,Female,Married,41,Policy Holder,Sport - Collision,Sport,more than 69000,0,1732,16,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Mar,1,Friday,Honda,Urban,Wednesday,Mar,2,Male,Married,54,Third Party,Sport - Collision,Sport,more than 69000,0,1733,7,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
Feb,1,Wednesday,Accura,Urban,Thursday,Feb,3,Male,Married,45,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1734,14,400,2,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Feb,1,Wednesday,Toyota,Urban,Tuesday,Feb,2,Male,Married,49,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1735,4,500,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,2 to 3 years,1 vehicle,1994,Liability
Jan,5,Tuesday,Mazda,Urban,Thursday,Feb,3,Male,Married,55,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1736,13,400,1,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
Mar,1,Saturday,Honda,Urban,Wednesday,Mar,3,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,1737,16,400,1,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
Mar,1,Saturday,Toyota,Urban,Tuesday,Mar,2,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,1738,4,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Jan,5,Tuesday,Honda,Urban,Wednesday,Feb,1,Male,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1739,15,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Jan,4,Friday,Mazda,Urban,Tuesday,Feb,2,Female,Single,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1740,3,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Jan,5,Saturday,Toyota,Urban,Monday,Feb,1,Male,Married,29,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1741,6,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Jan,4,Thursday,Mazda,Urban,Friday,Jan,4,Female,Single,29,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1742,8,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Jan,4,Tuesday,Toyota,Urban,Wednesday,Feb,2,Female,Married,45,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1743,16,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Jan,4,Wednesday,Honda,Urban,Thursday,Jan,4,Male,Married,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1744,9,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Collision
Jan,4,Saturday,Pontiac,Urban,Tuesday,Jan,5,Male,Single,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1745,13,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Mar,1,Saturday,Honda,Urban,Wednesday,Mar,2,Female,Married,40,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1746,3,400,2,more than 30,more than 30,none,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Jan,4,Monday,Mazda,Urban,Thursday,Jan,4,Male,Single,18,Policy Holder,Sport - Collision,Sport,more than 69000,0,1747,6,400,1,more than 30,more than 30,none,5 years,21 to 25,No,No,External,none,no change,1 vehicle,1994,Collision
Jan,4,Saturday,Honda,Urban,Thursday,Jan,4,Male,Married,55,Policy Holder,Sport - Collision,Sport,more than 69000,0,1748,15,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
Jan,4,Monday,Toyota,Urban,Wednesday,Jan,4,Male,Single,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1749,16,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
Jan,3,Friday,Pontiac,Urban,Wednesday,Jan,4,Male,Married,48,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1750,4,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Jan,3,Saturday,Ford,Urban,Monday,Jan,3,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,1751,14,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Jan,3,Saturday,Toyota,Urban,Tuesday,Jan,3,Male,Married,78,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1752,4,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Jan,3,Monday,Pontiac,Urban,Tuesday,Jan,3,Male,Married,42,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1753,11,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Mar,1,Saturday,Chevrolet,Urban,Tuesday,Mar,4,Male,Married,48,Third Party,Sedan - All Perils,Sedan,more than 69000,0,1754,13,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Jan,1,Wednesday,Pontiac,Rural,Thursday,Jan,1,Male,Married,61,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1755,4,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Jan,1,Tuesday,Ford,Urban,Wednesday,Jan,2,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,1756,6,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Jan,1,Thursday,VW,Urban,Monday,Jan,2,Male,Married,60,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,1757,10,400,3,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Dec,5,Thursday,Toyota,Urban,Monday,Jan,3,Male,Single,25,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1758,11,400,1,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Dec,5,Wednesday,Honda,Urban,Thursday,Jan,2,Male,Married,55,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1759,15,400,1,more than 30,more than 30,1,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Dec,2,Tuesday,Chevrolet,Urban,Tuesday,Dec,2,Female,Divorced,36,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1760,7,400,2,more than 30,more than 30,1,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Nov,1,Wednesday,Pontiac,Urban,Monday,Nov,2,Male,Single,51,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1761,8,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Oct,4,Thursday,Toyota,Urban,Wednesday,Jan,4,Male,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1762,4,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,Yes,No,External,more than 5,no change,1 vehicle,1994,Liability
Sep,4,Sunday,Pontiac,Urban,Tuesday,Sep,4,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1763,8,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Sep,3,Sunday,Toyota,Urban,Wednesday,Sep,5,Male,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1764,5,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,3 to 4,1994,Liability
Sep,2,Monday,Pontiac,Urban,Monday,Sep,2,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1765,14,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision
Mar,1,Saturday,Honda,Urban,Tuesday,Mar,2,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,1766,1,400,2,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
Aug,3,Saturday,Pontiac,Urban,Tuesday,Aug,4,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1767,7,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Aug,3,Saturday,Mercury,Rural,Monday,Aug,5,Male,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1768,7,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Aug,1,Saturday,VW,Urban,Wednesday,Aug,2,Female,Single,40,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,1769,8,400,2,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Aug,1,Tuesday,Pontiac,Rural,Tuesday,Aug,1,Female,Single,29,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,1770,15,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Jul,4,Friday,Pontiac,Urban,Friday,Jul,4,Male,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1771,14,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Jul,1,Saturday,Pontiac,Urban,Wednesday,Jul,2,Male,Single,36,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,1772,5,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Jul,1,Friday,Honda,Rural,Tuesday,Jul,1,Male,Married,36,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1773,14,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Jun,4,Monday,Accura,Urban,Tuesday,Jul,2,Male,Married,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1774,14,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,Internal,3 to 5,no change,1 vehicle,1994,Liability
Jun,1,Friday,Toyota,Urban,Tuesday,Jun,2,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1775,14,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
May,4,Tuesday,Dodge,Urban,Wednesday,May,4,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1776,15,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
May,2,Friday,Chevrolet,Urban,Monday,May,3,Male,Married,35,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,1777,16,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Mar,1,Sunday,Mazda,Urban,Monday,Mar,2,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,1778,3,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
May,1,Monday,VW,Rural,Tuesday,May,1,Male,Single,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1779,12,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Apr,3,Monday,Mazda,Urban,Thursday,Apr,4,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1780,10,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Mar,1,Sunday,Mazda,Rural,Monday,Mar,2,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,more than 69000,1,1781,4,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Jan,3,Wednesday,Toyota,Urban,Wednesday,Jan,3,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1782,13,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Jan,3,Tuesday,Toyota,Urban,Wednesday,Jan,3,Male,Married,47,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1783,16,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Jan,3,Wednesday,Mazda,Urban,Friday,Jan,5,Male,Married,50,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,1784,10,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Jan,3,Monday,Chevrolet,Urban,Wednesday,Jan,3,Male,Married,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1785,6,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Jan,3,Monday,Pontiac,Urban,Thursday,Jan,3,Male,Married,63,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1786,13,500,4,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,1 to 2,2 to 3 years,2 vehicles,1994,All Perils
Jan,3,Sunday,Chevrolet,Urban,Tuesday,Jan,3,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1787,2,400,3,more than 30,more than 30,none,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Jan,3,Monday,Pontiac,Rural,Wednesday,Jan,3,Male,Married,40,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1788,5,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Nov,4,Saturday,Honda,Urban,Thursday,Feb,1,Male,Single,17,Policy Holder,Sport - Collision,Sport,more than 69000,0,1789,10,400,3,more than 30,more than 30,2 to 4,2 years,18 to 20,No,No,External,none,no change,1 vehicle,1994,Collision
Mar,1,Sunday,Toyota,Urban,Tuesday,Mar,2,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,1790,14,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Nov,4,Sunday,Pontiac,Urban,Wednesday,Jan,1,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1791,14,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Oct,4,Wednesday,Honda,Urban,Friday,Nov,3,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,1792,12,400,2,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
Nov,2,Friday,Pontiac,Rural,Wednesday,Jan,2,Male,Single,27,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1793,9,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Aug,2,Friday,Pontiac,Urban,Tuesday,Jan,4,Male,Married,55,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1794,11,400,2,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
Feb,3,Friday,Ford,Urban,Thursday,Mar,1,Male,Married,67,Policy Holder,Utility - All Perils,Utility,more than 69000,0,1795,11,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Feb,2,Tuesday,Pontiac,Rural,Wednesday,Feb,2,Male,Single,29,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1796,3,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Feb,2,Tuesday,VW,Urban,Wednesday,Feb,2,Female,Married,35,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1797,16,400,4,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Mar,1,Saturday,Accura,Urban,Wednesday,Apr,1,Male,Married,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1798,8,400,4,more than 30,more than 30,1,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
Feb,3,Monday,Pontiac,Urban,Friday,Feb,3,Female,Widow,55,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1799,11,700,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
Jan,5,Saturday,Mazda,Urban,Tuesday,Feb,1,Male,Married,36,Third Party,Sedan - All Perils,Sedan,less than 20000,0,1800,2,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Jan,5,Monday,Honda,Urban,Tuesday,Feb,1,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1801,8,400,3,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability
Feb,2,Friday,Pontiac,Urban,Tuesday,Apr,4,Male,Single,26,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,1802,10,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
May,5,Sunday,Chevrolet,Rural,Tuesday,May,5,Female,Single,37,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1803,7,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
May,2,Sunday,Pontiac,Urban,Tuesday,May,2,Male,Single,27,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1804,8,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Oct,5,Monday,Pontiac,Urban,Monday,Oct,5,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1805,5,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,3 to 4,1994,Collision
Mar,4,Monday,Pontiac,Urban,Tuesday,Mar,4,Male,Married,66,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,1806,6,400,4,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils
May,4,Wednesday,Pontiac,Urban,Thursday,May,4,Male,Married,60,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1807,1,400,3,more than 30,more than 30,none,6 years,51 to 65,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Collision
May,3,Monday,Mazda,Urban,Monday,May,3,Female,Single,32,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1808,16,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
May,2,Wednesday,Honda,Urban,Tuesday,May,3,Female,Single,26,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1809,6,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Jun,3,Saturday,Pontiac,Urban,Tuesday,Jul,1,Male,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1810,1,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Jun,3,Tuesday,Toyota,Urban,Wednesday,Jun,3,Male,Married,27,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1811,7,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Mar,1,Sunday,Honda,Urban,Wednesday,Mar,3,Male,Single,19,Policy Holder,Sport - Collision,Sport,more than 69000,1,1812,8,400,1,more than 30,more than 30,none,3 years,21 to 25,No,No,External,none,no change,1 vehicle,1994,Collision
Aug,3,Tuesday,Pontiac,Urban,Tuesday,Aug,3,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,1813,9,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Sep,4,Thursday,Chevrolet,Urban,Monday,Sep,4,Male,Married,32,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1814,7,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Sep,1,Tuesday,Chevrolet,Urban,Wednesday,Sep,3,Male,Married,33,Third Party,Sedan - All Perils,Sedan,more than 69000,0,1815,1,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Mar,2,Monday,Toyota,Urban,Tuesday,Mar,3,Male,Married,35,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,1816,9,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,Yes,External,1 to 2,no change,1 vehicle,1994,Collision
Jan,2,Thursday,Accura,Urban,Thursday,Jan,3,Female,Married,44,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1817,9,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
